,shop_name,STREET,LOCALITY,REGION,POSTAL_CODE
0,0109 Dessert And Cafe,"2190 McNicoll Ave, ","Scarborough, ","ON, ",M1V 0B3
1,1993530 Ontario Inc,"5150 Yonge St, ","North York, ","ON, ",M2N 6L8
2,2-4-1 Pizza,"2834 Victoria Park Ave, ","North York, ","ON, ",M2J 4A8
3,3 Kings Cafe,"2061 Lawrence Ave E, ","Scarborough, ","ON, ",M1R 2Z4
4,416 Coffee,"2-36 Wright St, ","St Catharines, ","ON, ",L2P 3J4
5,5 Elements Espresso,"131 Avenue Rd, ","Toronto, ","ON, ",M5R 2H7
6,521 Cafe & Bar,"521 Danforth Ave, ","Toronto, ","ON, ",M4K 1P7
7,608 Design,"2100 Bloor St W, ","Toronto, ","ON, ",M6S 5A5
8,650 Cafe Bistro - Downtown,"650 Bay St, ","Toronto, ","ON, ",M5G 1M8
9,709 Greet Coffee,"709 Danforth Ave, ","Toronto, ","ON, ",M4J 1L2
10,836 Pape Coffee Shop,"836 Pape Ave, ","East York, ","ON, ",M4K 3T6
11,A-Game Cafe,"797 Dundas St W Main, ","Toronto, ","ON, ",M6J 1V2
12,Abba Kyrillos Mari Mina,"150 John St, ","Toronto, ","ON, ",M5V 3E3
13,Abba Kyrillos Mari Mina,"700 University Av, ","Toronto, ","ON, ",M5G 1Z5
14,ABC Bakery & Coffee Shop,"3618 Victoria Park Ave, ","North York, ","ON, ",M2H 3B2
15,Ada Chocolate,"334 Dundas St W, ","Toronto, ","ON, ",M5T 1G5
16,Adam's Cafe,"1923 Eglinton Ave W, ","York, ","ON, ",M6E 2J7
17,Addis Cafe,"3200 Danforth Ave, ","Scarborough, ","ON, ",M1L 1B7
18,Affluent Minda,"200 University Ave Main, ","Toronto, ","ON, ",M5H 3C6
19,Afpetta Caffe,"207 Augusta Ave, ","Toronto, ","ON, ",M5T 2L4
20,Akia King Cafe,"387 Broadview Ave, ","Toronto, ","ON, ",M4K 2M7
21,Akia King Cafe,"387 Broadview Ave, ","Toronto, ","ON, ",M4K 2M7
22,Al-Jandoul Group Ltd.,"833 Westlock Rd, ","Mississauga, ","ON, ",L5C 1K7
23,Alcove Coffee,"34 Cawthra Ave, ","Toronto, ","ON, ",M6N 5B3
24,Allstarz Expresso Bar,"2249 Gerrard St E, ","Toronto, ","ON, ",M4E 2C9
25,Alumni Cafe,"2 Sussex Ave, ","Toronto, ","ON, ",M5S 1J5
26,Amani Earls,"3178 Dundas St W, ","Toronto, ","ON, ",M6P 2A3
27,Amazon Coffee Roasters Ltd,"10 Bondhead Pl, ","Toronto, ","ON, ",M9V 2L9
28,Ambiance Chocolat,"753 Queen St E, ","Toronto, ","ON, ",M4M 1H3
29,Amr Foods-Roody's Cafe,"1 Sunlight Park Rd, ","Toronto, ","ON, ",M4M 1B5
30,Ana-Sam Investments Inc,"4696 Yonge St, ","North York, ","ON, ",M2N 5M2
31,Anat Buna Coffee Shop,"175 Queen St E Main, ","Toronto, ","ON, ",M5A 1S2
32,Andy's,"Non, ","Non, ","ON, ",Non
33,Andy's Coffee Shop,"200 Consumers Rd, ","North York, ","ON, ",M2J 4R4
34,Anondo Resturant,"2891 Danforth Ave, ","Toronto, ","ON, ",M4C 1M3
35,Anthony's Cafe,"18 Wynford Dr, ","North York, ","ON, ",M3C 3S2
36,Antonio's Cafe,"Non, ","Non, ","ON, ",Non
37,Aramark Canada Ltd,"55 Harbord St, ","Toronto, ","ON, ",M5S 2W6
38,Archtop Cafe & Music Ltd,"2312 Bloor St W, ","Toronto, ","ON, ",M6S 1P2
39,Argila Cafe,"361 Yonge St, ","Toronto, ","ON, ",M5B 1S1
40,Aroma Espresso,"1090 Don Mills Rd, ","Toronto, ","ON, ",M3C 3R6
41,Aroma Espresso Bar,"250 King St E, ","Toronto, ","ON, ",M5A 1K1
42,Aroma Espresso Bar,"500 Bloor St W, ","Toronto, ","ON, ",M5S 1Y3
43,Aroma Espresso Bar,"220 Yonge St, ","Toronto, ","ON, ",M5B 2H1
44,Aroma Espresso Bar,"121 King St W, ","Toronto, ","ON, ",M5H 3T9
45,Aroma Espresso Bar,"535 Queen St W, ","Toronto, ","ON, ",M5V 2B4
46,Aroma Espresso Bar,"535 Queen St W, ","Toronto, ","ON, ",M5V 2B4
47,Aroma Espresso Bar,"2901 Bayview Ave, ","North York, ","ON, ",M2K 1E6
48,Aroma Espresso Bar,"2300 Yonge St, ","Toronto, ","ON, ",M4P 1E4
49,Aroma Espresso Bar,"3-85 Laird Dr, ","East York, ","ON, ",M4G 3T7
50,Aroma Espresso Bar,"2040 Avenue Rd, ","North York, ","ON, ",M5M 4A6
51,Aroma Espresso Bar,"430 King St W, ","Toronto, ","ON, ",M5V 1K3
52,Aroma Espresso Bar,"120 Lynn Williams St, ","Toronto, ","ON, ",M6K 3N6
53,Aroma Espresso Bar,"137 Bremner Blvd, ","Toronto, ","ON, ",M5J 3A7
54,Aroma Espresso Bar,"3791 Bathurst St, ","North York, ","ON, ",M3H 3N1
55,Aroma Espresso Bar,"540 College St, ","Toronto, ","ON, ",M6G 1A6
56,Aroma Espresso Bar,"3343 Yonge St, ","Toronto, ","ON, ",M4N 2M6
57,Aroma Espresso Bar,"1407 Yonge St, ","Toronto, ","ON, ",M4T 1Y7
58,Aroma Espresso Bar,"562 Bay St, ","Toronto, ","ON, ",M5G 0B3
